id,predict_time,category,flag,ds,yhat,yhat_lower,yhat_upper,trend,trend_lower,trend_upper,yearly,yearly_lower,yearly_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper
81,2021-06-30,population,1000 persons,1977-12-31,23870.554057811838,8292.247206751688,39593.273114537860,32289.460438943206,32289.460438943206,32289.460438943206,-8418.906381131368,-8418.906381131368,-8418.906381131368,-8418.90638113137,-8418.90638113137,-8418.90638113137,0,0,0
82,2021-06-30,population,1000 persons,1978-12-31,24035.792263047868,9023.919011552736,38977.549165754666,32478.487858815843,32478.487858815843,32478.487858815843,-8442.695595767975,-8442.695595767975,-8442.695595767975,-8442.69559576797,-8442.69559576797,-8442.69559576797,0,0,0
83,2021-06-30,population,1000 persons,1979-12-31,24207.043938957107,9329.564650715722,39469.299040684054,32667.515280023465,32667.515280023465,32667.515280023465,-8460.471341066357,-8460.471341066357,-8460.471341066357,-8460.47134106636,-8460.47134106636,-8460.47134106636,0,0,0
84,2021-06-30,population,1000 persons,1980-12-31,24467.927941297185,8822.432778864097,39773.251903069940,32857.060584576860,32857.060584576860,32857.060584576860,-8389.132643279674,-8389.132643279674,-8389.132643279674,-8389.13264327967,-8389.13264327967,-8389.13264327967,0,0,0
85,2021-06-30,population,1000 persons,1981-12-31,24627.181623652200,9410.360797292022,38755.916976318500,33046.088004783596,33046.088004783596,33046.088004783596,-8418.906381131397,-8418.906381131397,-8418.906381131397,-8418.9063811314,-8418.9063811314,-8418.9063811314,0,0,0
86,2021-06-30,population,1000 persons,1982-12-31,24792.419829222360,10805.857101588908,39980.430423710110,33235.115424990330,33235.115424990330,33235.115424990330,-8442.695595767970,-8442.695595767970,-8442.695595767970,-8442.69559576797,-8442.69559576797,-8442.69559576797,0,0,0
87,2021-06-30,population,1000 persons,1983-12-31,24963.671502451252,11224.686815930705,39603.977943109410,33424.142843517600,33424.142843517600,33424.142843517600,-8460.471341066344,-8460.471341066344,-8460.471341066344,-8460.47134106634,-8460.47134106634,-8460.47134106634,0,0,0
88,2021-06-30,population,1000 persons,1984-12-31,25224.555502103570,9344.199319864927,39619.149814151024,33613.688145383300,33613.688145383300,33613.688145383300,-8389.132643279729,-8389.132643279729,-8389.132643279729,-8389.13264327973,-8389.13264327973,-8389.13264327973,0,0,0
89,2021-06-30,population,1000 persons,1985-12-31,25383.809182779250,10300.822099198802,39010.737814891300,33802.715563910580,33802.715563910580,33802.715563910580,-8418.906381131328,-8418.906381131328,-8418.906381131328,-8418.90638113133,-8418.90638113133,-8418.90638113133,0,0,0
90,2021-06-30,population,1000 persons,1986-12-31,25549.047385254788,11510.010594038555,40365.236798233190,33991.742981022704,33991.742981022704,33991.742981022704,-8442.695595767917,-8442.695595767917,-8442.695595767917,-8442.69559576792,-8442.69559576792,-8442.69559576792,0,0,0
91,2021-06-30,population,1000 persons,1987-12-31,25720.299057068470,11098.760817281689,40036.833471060830,34180.770398134824,34180.770398134824,34180.770398134824,-8460.471341066355,-8460.471341066355,-8460.471341066355,-8460.47134106636,-8460.47134106636,-8460.47134106636,0,0,0
92,2021-06-30,population,1000 persons,1988-12-31,25981.183056910180,10813.162392534017,40063.286152625400,34370.315700189850,34370.315700189850,34370.315700189850,-8389.132643279670,-8389.132643279670,-8389.132643279670,-8389.13264327967,-8389.13264327967,-8389.13264327967,0,0,0
93,2021-06-30,population,1000 persons,1989-12-31,26140.436737774493,11719.061546581734,41507.444501135280,34559.343118905934,34559.343118905934,34559.343118905934,-8418.906381131439,-8418.906381131439,-8418.906381131439,-8418.90638113144,-8418.90638113144,-8418.90638113144,0,0,0
94,2021-06-30,population,1000 persons,1990-12-31,26305.674942630570,11584.491400750541,41880.608139555980,34748.370538398536,34748.370538398536,34748.370538398536,-8442.695595767966,-8442.695595767966,-8442.695595767966,-8442.69559576797,-8442.69559576797,-8442.69559576797,0,0,0
95,2021-06-30,population,1000 persons,1991-12-31,26476.926616824774,11142.975292116045,41807.510191661790,34937.397957891130,34937.397957891130,34937.397957891130,-8460.471341066357,-8460.471341066357,-8460.471341066357,-8460.47134106636,-8460.47134106636,-8460.47134106636,0,0,0
96,2021-06-30,population,1000 persons,1992-12-31,26737.810617111354,11668.413823254066,42879.924541937150,35126.943260391130,35126.943260391130,35126.943260391130,-8389.132643279770,-8389.132643279770,-8389.132643279770,-8389.13264327977,-8389.13264327977,-8389.13264327977,0,0,0
97,2021-06-30,population,1000 persons,1993-12-31,26897.064298419515,11570.630419607240,41249.151244780850,35315.970679550950,35315.970679550950,35315.970679550950,-8418.906381131435,-8418.906381131435,-8418.906381131435,-8418.90638113144,-8418.90638113144,-8418.90638113144,0,0,0
98,2021-06-30,population,1000 persons,1994-12-31,27062.302503105864,11748.443779021720,41134.826506814600,35504.998098873870,35504.998098873870,35504.998098873870,-8442.695595768006,-8442.695595768006,-8442.695595768006,-8442.69559576801,-8442.69559576801,-8442.69559576801,0,0,0
99,2021-06-30,population,1000 persons,1995-12-31,27233.554177130440,12781.953534194896,41140.511023397834,35694.025518196795,35694.025518196795,35694.025518196795,-8460.471341066352,-8460.471341066352,-8460.471341066352,-8460.47134106635,-8460.47134106635,-8460.47134106635,0,0,0
100,2021-06-30,population,1000 persons,1996-12-31,27494.438177580625,12385.047835873122,42544.933800586194,35883.570820860340,35883.570820860340,35883.570820860340,-8389.132643279712,-8389.132643279712,-8389.132643279712,-8389.13264327971,-8389.13264327971,-8389.13264327971,0,0,0
101,2021-06-30,population,1000 persons,1997-12-31,27653.691858637576,12865.566404777534,42775.944863430515,36072.598239769050,36072.598239769050,36072.598239769050,-8418.906381131477,-8418.906381131477,-8418.906381131477,-8418.90638113148,-8418.90638113148,-8418.90638113148,0,0,0
