,ds,y
470,2019-11-01,1.66937
471,2020-11-01,1.33881
472,2001-12-01,5.87754
473,2002-12-01,4.60708
474,2003-12-01,4.0546
475,2004-12-01,3.04447
476,2005-12-01,4.16864
477,2006-12-01,3.17549
478,2007-12-01,6.6195
479,2008-12-01,2.39133
480,2009-12-01,-2.3782
481,2010-12-01,0.71213
482,2011-12-01,2.12782
483,2012-12-01,3.02791
484,2013-12-01,1.19642
485,2014-12-01,-0.33153
486,2015-12-01,1.8105
487,2016-12-01,0.80323
488,2017-12-01,1.69643
489,2018-12-01,1.34338
490,2019-12-01,1.66434
491,2020-12-01,1.13745
