,ds,y,produce_type
710,2012-12-09,66.86,round
726,2012-12-16,57.0,round
742,2012-12-23,56.15,round
758,2012-12-30,51.86,round
774,2013-01-06,79.02,round
790,2013-01-13,96.88,round
806,2013-01-20,92.25,round
822,2013-01-27,63.36,round
838,2013-02-03,0.0,round
7,2013-02-10,0.0,round
23,2013-02-17,77.08,round
39,2013-02-24,75.91,round
55,2013-03-03,73.45,round
71,2013-03-10,67.58,round
87,2013-03-17,60.46,round
103,2013-03-24,59.14,round
119,2013-03-31,65.53,round
135,2013-04-07,77.37,round
151,2013-04-14,0.0,round
167,2013-04-21,83.37,round
183,2013-04-28,88.42,round
199,2013-05-05,87.3,round
215,2013-05-12,69.53,round
231,2013-05-19,69.31,round
247,2013-05-26,66.21,round
263,2013-06-02,79.74,round
279,2013-06-09,69.82,round
295,2013-06-16,0.0,round
311,2013-06-23,45.75,round
327,2013-06-30,46.39,round
343,2013-07-07,45.64,round
359,2013-07-14,39.09,round
375,2013-07-21,37.01,round
391,2013-07-28,38.14,round
407,2013-08-04,36.56,round
423,2013-08-11,41.14,round
439,2013-08-18,46.38,round
455,2013-08-25,44.7,round
471,2013-09-01,41.92,round
487,2013-09-08,43.85,round
503,2013-09-15,48.0,round
519,2013-09-22,46.34,round
535,2013-09-29,46.34,round
551,2013-10-06,51.45,round
567,2013-10-13,0.0,round
583,2013-10-20,50.28,round
599,2013-10-27,61.17,round
615,2013-11-03,61.51,round
631,2013-11-10,61.25,round
647,2013-11-17,61.49,round
663,2013-11-24,29.47,round
679,2013-12-01,46.14,round
695,2013-12-08,40.37,round
711,2013-12-15,42.88,round
727,2013-12-22,38.41,round
743,2013-12-29,45.78,round
759,2014-01-05,66.17,round
775,2014-01-12,95.93,round
791,2014-01-19,92.59,round
807,2014-01-26,95.66,round
823,2014-02-02,87.6,round
839,2014-02-09,0.0,round
8,2014-02-16,80.93,round
24,2014-02-23,81.28,round
40,2014-03-02,71.27,round
56,2014-03-09,68.91,round
72,2014-03-16,65.34,round
88,2014-03-23,65.04,round
104,2014-03-30,69.26,round
120,2014-04-06,67.37,round
136,2014-04-13,79.6,round
152,2014-04-20,83.73,round
168,2014-04-27,68.08,round
184,2014-05-04,77.1,round
200,2014-05-11,64.5,round
216,2014-05-18,67.79,round
232,2014-05-25,79.98,round
248,2014-06-01,75.16,round
264,2014-06-08,46.55,round
280,2014-06-15,41.28,round
296,2014-06-22,42.71,round
312,2014-06-29,37.5,round
328,2014-07-06,38.31,round
344,2014-07-13,45.17,round
360,2014-07-20,54.01,round
376,2014-07-27,59.69,round
392,2014-08-03,58.53,round
408,2014-08-10,55.56,round
424,2014-08-17,64.22,round
440,2014-08-24,65.74,round
456,2014-08-31,65.08,round
472,2014-09-07,60.44,round
488,2014-09-14,51.53,round
504,2014-09-21,49.47,round
520,2014-09-28,49.38,round
536,2014-10-05,48.53,round
552,2014-10-12,51.17,round
568,2014-10-19,72.56,round
584,2014-10-26,76.01,round
600,2014-11-02,72.23,round
616,2014-11-09,75.55,round
632,2014-11-16,75.52,round
648,2014-11-23,88.66,round
664,2014-11-30,92.68,round
680,2014-12-07,82.4,round
696,2014-12-14,77.85,round
712,2014-12-21,71.6,round
728,2014-12-28,71.89,round
744,2015-01-04,73.38,round
760,2015-01-11,67.65,round
776,2015-01-18,61.89,round
792,2015-01-25,64.63,round
808,2015-02-01,65.89,round
824,2015-02-08,59.45,round
840,2015-02-15,0.0,round
9,2015-02-22,65.6,round
25,2015-03-01,80.35,round
41,2015-03-08,89.01,round
57,2015-03-15,80.67,round
73,2015-03-22,77.37,round
89,2015-03-29,75.26,round
105,2015-04-05,67.71,round
121,2015-04-12,0.0,round
137,2015-04-19,58.87,round
153,2015-04-26,57.2,round
169,2015-05-03,61.0,round
185,2015-05-10,63.43,round
201,2015-05-17,67.93,round
217,2015-05-24,68.24,round
233,2015-05-31,64.73,round
249,2015-06-07,69.16,round
265,2015-06-14,68.19,round
281,2015-06-21,57.42,round
297,2015-06-28,59.77,round
313,2015-07-05,56.79,round
329,2015-07-12,47.37,round
345,2015-07-19,48.67,round
361,2015-07-26,59.26,round
377,2015-08-02,43.7,round
393,2015-08-09,37.44,round
409,2015-08-16,41.91,round
425,2015-08-23,42.97,round
441,2015-08-30,33.95,round
457,2015-09-06,45.09,round
473,2015-09-13,49.03,round
489,2015-09-20,51.56,round
505,2015-09-27,59.78,round
521,2015-10-04,68.65,round
537,2015-10-11,65.35,round
553,2015-10-18,68.32,round
569,2015-10-25,68.77,round
585,2015-11-01,82.36,round
601,2015-11-08,113.17,round
617,2015-11-15,129.05,round
